Group;Participant;Sound;Language;Time;Alondra;Inhibition;Compactness;Precision_L2
Auditory;113;e;L1;T1;230;-0,0941;1478.215132;69.51142574
Auditory;114;e;L1;T1;250;-0,0115;1718.467729;52.40160943
Auditory;115;e;L1;T1;194;-0,2189;13391.06008;27.46646577
Auditory;116;e;L1;T1;197;-0,345;1537.181316;6.08317525
Auditory;117;e;L1;T1;247;0;2963.205015;43.49444149
Auditory;118;e;L1;T1;193;-0,4282;2845.014727;11.25055599
Auditory;119;e;L1;T1;183;-0,1424;3129.707858;5.226423922
Auditory;120;e;L1;T1;229;-0,1764;5227.151138;27.86434709
Auditory;121;e;L1;T1;216;0;3777.374715;9.879616661
Auditory;122;e;L1;T1;220;-0,1658;3834.74573;26.20238152
Auditory;123;e;L1;T1;252;-0,1044;10163.79092;221.5203131
Auditory;124;e;L1;T1;226;-0,1132;8970.818925;220.2212577
Auditory;125;e;L1;T1;263;0;7275.070291;39.36308065
Auditory;126;e;L1;T1;138;-0,7027;11542.97522;209.6514233
Conflicting;201;e;L1;T1;187;-0,1641;4562.192133;83.04454233
Conflicting;202;e;L1;T1;230;0;5019.743433;70.51625515
Conflicting;203;e;L1;T1;212;-1,2584;6221.168022;26.8592277
Conflicting;204;e;L1;T1;278;0;3815.988891;88.30654034
Conflicting;205;e;L1;T1;234;-0,056;6407.974788;31.04233833
Conflicting;206;e;L1;T1;234;-0,1904;6326.714422;35.55456869
Conflicting;207;e;L1;T1;208;-0,0683;116542.2141;59.40731561
Conflicting;208;e;L1;T1;200;-1,1383;2886.697023;100.6635132
Conflicting;209;e;L1;T1;209;0;4910.438624;12.25280742
Conflicting;210;e;L1;T1;210;0;4050.878978;34.02541377
Conflicting;211;e;L1;T1;208;0;4731.890228;33.55076314
Conflicting;212;e;L1;T1;277;-0,0814;3462.652454;82.47523973
Conflicting;213;e;L1;T1;219;-0,0131;5904.298813;19.66197466
Conflicting;214;e;L1;T1;251;-0,1848;2955.456046;72.0947223
Conflicting;215;e;L1;T1;188;-0,0196;5406.901286;17.81686521
Conflicting;217;e;L1;T1;232;-0,0401;12670.51056;16.0978521
Conflicting;218;e;L1;T1;234;0;3574.017838;37.65332855
Conflicting;219;e;L1;T1;172;-0,1621;7696.816642;27.88937708
Conflicting;221;e;L1;T1;204;0;5064.306224;46.63629626
Conflicting;222;e;L1;T1;197;-0,062;5395.062327;23.14991166
Conflicting;223;e;L1;T1;270;0;7498.112682;48.18147467
Conflicting;225;e;L1;T1;274;-0,0467;4276.37946;58.85316577
Conflicting;227;e;L1;T1;245;-0,314;4098.691334;72.24232934
Conflicting;228;e;L1;T1;271;0;3373.139934;65.9859977
Conflicting;229;e;L1;T1;190;0;7378.83979;67.49015476
Novel;301;e;L1;T1;224;-0,9083;4080.73751;45.52860857
Novel;302;e;L1;T1;;0;5975.999044;34.5758354
Novel;303;e;L1;T1;188;0;11879.19077;7.684539327
Novel;304;e;L1;T1;259;0;2208.013774;15.05684526
Novel;305;e;L1;T1;274;0;4597.583996;77.24029911
Novel;306;e;L1;T1;188;-0,5168;5988.070494;45.81615993
Novel;307;e;L1;T1;195;-0,199;12980.56814;13.69222053
Novel;308;e;L1;T1;212;0;7489.441522;50.19207152
Novel;309;e;L1;T1;206;0;6895.738429;17.09822993
Novel;310;e;L1;T1;191;-0,1579;4662.510227;49.49883666
Novel;311;e;L1;T1;231;-0,096;7120.565125;91.64357723
Novel;312;e;L1;T1;269;-0,0322;2539.225012;5.102277106
Novel;313;e;L1;T1;273;0;8328.34747;9.991809678
Novel;314;e;L1;T1;178;-0,1345;4739.752683;48.32852005
Novel;315;e;L1;T1;235;-0,0499;2185.759463;132.559504
